Tidpunkt;Datum;Tid;Latency;Down;Up;Node
2021-05-12 15:20;2021-05-12;15:20:01;47,2482;7,87033;3,40577;svl407de958b
2021-05-12 15:30;2021-05-12;15:30:01;55,9469;5,43415;2,60431;svl4072f1186
2021-05-12 15:40;2021-05-12;15:40:01;53,1234;5,39403;2,73021;svl2080827c8
2021-05-12 15:50;2021-05-12;15:50:01;55,6172;4,92284;2,74233;svl208614932
2021-05-12 16:00;2021-05-12;16:00:01;54,5351;6,35059;1,66245;svl208af66ee
2021-05-12 16:10;2021-05-12;16:10:01;51,1514;5,22773;3,13943;svl208958194
2021-05-12 16:20;2021-05-12;16:20:01;51,3988;5,35178;2,69264;svl20853ae74
2021-05-12 16:30;2021-05-12;16:30:01;49,4385;4,14355;2,55125;svl407d2828a
2021-05-12 16:40;2021-05-12;16:40:01;53,3957;4,7377;2,76527;svl407403641
2021-05-12 16:50;2021-05-12;16:50:01;51,1165;4,31161;2,50075;svl40711dea6
2021-05-12 17:00;2021-05-12;17:00:01;54,2828;1,48985;1,7988;svl407f76e41
2021-05-12 17:10;2021-05-12;17:10:01;51,1107;4,239;2,84643;svl4072e2c22
2021-05-12 17:20;2021-05-12;17:20:01;51,4334;1,51279;3,23332;svl40708f6b0
2021-05-12 17:30;2021-05-12;17:30:01;136,555;1,21679;1,4059;svl4071aa50d
2021-05-12 17:40;2021-05-12;17:40:01;67,9487;2,99157;3,07568;svl2085fcda7
2021-05-12 17:50;2021-05-12;17:50:02;52,4214;3,56489;2,04879;svl208b87014
